country_name,heat_index_2000,heat_index_2025,difference,data_points
Germany,81.18519578798853,86.7124642845998,5.527268496611271,99
Bhutan,96.71126412147564,101.05681786799246,4.345553746516828,87
Sri Lanka,89.50698386594821,93.82027861592758,4.313294749979363,265
France,82.4430590666967,86.30900061066211,3.8659415439654055,738
Nepal,98.6093266820478,102.31257984952678,3.703253167478991,301
United States,86.48512419815388,87.2504478608535,0.7653236626996147,5526
Qatar,113.78496731083072,106.02566056707388,-7.759306743756824,117
Bahrain,113.45608575449243,105.706524383323,-7.749561371169463,45
Syrian Arab Republic,100.4934031474844,94.86657658534276,-5.626826562141645,825
Jordan,97.22719118800732,91.75318728477669,-5.474003903230624,525
Iraq,101.85025138177085,97.7188976443948,-4.131353737376045,1665
