country_code,country_name,heat_index_2000,heat_index_2025,difference,percent_change,data_points
DEU,Germany,81.18519578798853,86.7124642845998,5.527268496611271,6.808222167801975,99
BTN,Bhutan,96.71126412147564,101.05681786799246,4.345553746516828,4.4933274174335365,87
LKA,Sri Lanka,89.50698386594821,93.82027861592758,4.313294749979363,4.818947710761038,265
FRA,France,82.4430590666967,86.30900061066211,3.8659415439654055,4.689226221988981,738
NPL,Nepal,98.6093266820478,102.31257984952678,3.703253167478991,3.755479620522733,301
ESP,Spain,84.2462414713544,87.2699745775709,3.023733106216511,3.589160837809777,1112
PHL,Philippines,88.69557289485353,91.70771803866592,3.012145143812404,3.396049030973879,3101
PAK,Pakistan,97.48958070887006,100.39745957353344,2.907878864663374,2.9827586122737335,2929
MDV,Maldives,87.6084577646945,90.3650272619176,2.756569497223083,3.1464650417964077,333
ITA,Italy,84.99147142539364,87.68412691668217,2.6926554912885337,3.168147869580271,1599
PRT,Portugal,84.45505184015579,87.06167407696614,2.6066222368103524,3.086401796003615,289
AFG,Afghanistan,94.24398640157057,96.8253000401671,2.5813136385965407,2.7389690707666454,1951
CHE,Switzerland,82.86497295946637,85.39988823683078,2.534915277364405,3.059091419247027,127
IND,India,92.44912528707074,94.94255817575062,2.4934328886798767,2.6970865121085033,11219
TKM,Turkmenistan,92.92109341976705,95.22754085577073,2.3064474360036655,2.4821570120622543,1964
UZB,Uzbekistan,91.9380123777128,94.1911095750161,2.2530971973033047,2.450669901418807,2497
KHM,Cambodia,89.20008958105258,91.43363540071924,2.2335458196666593,2.5039726194861327,475
CAN,Canada,80.04200090680804,82.26726531982422,2.225264413016177,2.7801209212736024,28
MLT,Malta,84.86116738891602,87.08147891941746,2.220311530501448,2.6164046510529735,25
SGP,Singapore,89.13984010851371,91.27876059225972,2.1389204837460056,2.399511241148971,25
MAR,Morocco,95.34634614357807,97.4650657694948,2.1187196259167393,2.2221298577359727,2644
BGD,Bangladesh,94.33124289122522,96.392926300487,2.061683409261775,2.185578548603598,577
JPN,Japan,87.45046515669878,89.44059647970087,1.990131323002089,2.2757241135722457,5807
KEN,Kenya,84.32071081148743,86.27130296817252,1.95059215668509,2.313301367971095,1008
MMR,Myanmar,89.39054169514006,91.31319760534412,1.9226559102040568,2.1508493781826883,2591
NER,Niger,96.273754129748,98.16353939197782,1.889785262229836,1.9629288161786809,3657
POL,Poland,81.86337019991713,83.69807863953412,1.834708439616989,2.241183615011792,245
VNM,Viet Nam,90.74593423306617,92.57016496027693,1.824230727210761,2.010261663652634,1937
HRV,Croatia,84.62611578231478,86.39280413569621,1.7666883533814255,2.087639657154901,526
UKR,Ukraine,84.70141252834203,86.43378777803824,1.7323752496962044,2.045273151869259,2073
THA,Thailand,89.48644342577467,91.17224139882607,1.6857979730514074,1.883858502488936,2309
BIH,Bosnia and Herzegovina,85.0328600265557,86.68358307843478,1.6507230518790834,1.9412766445390215,326
PRK,"Korea, Democratic People's Republic of",85.82963171129562,87.46188947303925,1.632257761743631,1.9017415421681432,425
LAO,Lao People's Democratic Republic,90.60299387717674,92.21381634014372,1.610822462966965,1.777890987962968,1232
MYS,Malaysia,89.50709254840844,91.10794822685942,1.6008556784509835,1.788523828528099,2082
MEX,Mexico,87.407054694837,89.00465530504889,1.5976006102118845,1.8277707855384957,5295
MLI,Mali,96.43816792164264,98.01288439972382,1.5747164780811715,1.6328768080296283,4451
CHN,China,88.65202868112483,90.2037405646941,1.5517118835692685,1.7503399602401295,25207
PNG,Papua New Guinea,86.09656707859449,87.64151646526844,1.5449493866739488,1.7944378493786162,1466
LBY,Libya,92.0572119441997,93.59097419401712,1.5337622498174284,1.6660967863627192,3418
DZA,Algeria,96.6515964778252,98.17030899863585,1.518712520810638,1.5713268855927036,5921
NGA,Nigeria,89.4990285603686,91.01743362676496,1.5184050663963689,1.6965603882193865,1959
SVN,Slovenia,83.99384166231195,85.46762084275537,1.4737791804434153,1.7546276623095576,119
TUN,Tunisia,92.4668194590587,93.88532782542548,1.418508366366794,1.534072843280679,674
IRN,"Iran, Islamic Republic of",96.97867718649302,98.27556371189092,1.2968865253978947,1.3372903848790818,4670
IDN,Indonesia,86.938406765003,88.19962020602334,1.2612134410203453,1.4506976697070622,9665
RWA,Rwanda,81.04000081779367,82.23931938723541,1.1993185694417434,1.4799093748015033,75
BFA,Burkina Faso,92.09518795733754,93.28521933884718,1.190031381509641,1.2921754196982742,925
BDI,Burundi,81.34226872347023,82.52875852922566,1.1864898057554285,1.4586386934805062,123
TJK,Tajikistan,88.31318462776817,89.49127234549594,1.178087717727777,1.3339884895933798,269
AUS,Australia,83.00616977505726,84.17651694276388,1.1703471677066233,1.4099520202874172,326
