country_code,country_name,heat_index_2000,heat_index_2025,difference,percent_change,data_points
AGO,Angola,82.31578932880218,81.90430387987189,-0.4114854489302928,-0.4998864158207308,2567
GEO,Georgia,87.25087179194765,86.82271399245262,-0.4281577994950254,-0.4907203684061527,396
ROU,Romania,86.63992940320924,86.19845012809436,-0.4414792751148724,-0.5095563652415898,939
ARM,Armenia,84.87411857168144,84.37987015485135,-0.4942484168300893,-0.582331133621925,266
CAF,Central African Republic,89.4717571146701,88.96875813430528,-0.502998980364822,-0.5621874394622217,2104
OMN,Oman,103.45949059210308,102.94611767516976,-0.5133729169333066,-0.4962066930691921,1609
FIN,Finland,82.60859220573701,82.04086039423292,-0.567731811504089,-0.687255158749287,664
MKD,North Macedonia,86.84613232511347,86.21371535974701,-0.6324169653664597,-0.728203949254724,169
NOR,Norway,82.55683546586471,81.80211121978466,-0.7547242460800447,-0.9141874707541392,550
AZE,Azerbaijan,87.50233679997734,86.73041837996608,-0.7719184200112608,-0.8821689205578572,465
ERI,Eritrea,100.01934549840983,99.11660884408282,-0.9027366543270148,-0.902562049200139,737
MNG,Mongolia,83.97006358255211,83.00411530536586,-0.9659482771862572,-1.150348393194463,4144
SDN,Sudan,95.58166659709966,94.58749768298486,-0.9941689141147948,-1.040125109248683,3856
EGY,Egypt,95.39949925527928,93.99102693190092,-1.4084723233783336,-1.476393832644138,1661
BGR,Bulgaria,89.1312826036672,87.49748865453026,-1.633793949136944,-1.833019677728416,373
TUR,Türkiye,89.819001537635,88.07200801371211,-1.746993523922896,-1.9450155245723697,1871
SAU,Saudi Arabia,102.33820022387596,100.30868147355612,-2.029518750319852,-1.983148761537782,6126
KWT,Kuwait,109.40820828278412,106.92418338209843,-2.4840249006856965,-2.270419139179495,169
ARE,United Arab Emirates,111.85121344499416,108.42949803362778,-3.4217154113663923,-3.05916700049849,525
ISR,Israel,93.4582033849699,89.82906505507239,-3.629138329897515,-3.883167232466999,189
LBN,Lebanon,91.84041480561982,88.10001817971444,-3.740396625905376,-4.072713122890312,81
PSE,"Palestine, State of",94.46948808553827,90.68108756558524,-3.788400519953043,-4.0101842369705665,81
IRQ,Iraq,101.85025138177085,97.7188976443948,-4.131353737376045,-4.056301954415672,1665
JOR,Jordan,97.22719118800732,91.75318728477669,-5.474003903230624,-5.630116263099275,525
SYR,Syrian Arab Republic,100.4934031474844,94.86657658534276,-5.626826562141645,-5.599199933436126,825
BHR,Bahrain,113.45608575449243,105.706524383323,-7.749561371169463,-6.830450142567701,45
QAT,Qatar,113.78496731083072,106.02566056707388,-7.759306743756824,-6.8192722880171255,117
